Key Length	Time.
16	8.2015991210938E-5
17	6.7949295043945E-5
18	0.00010180473327637
19	0.00016593933105469
20	0.00017905235290527
21	0.00021505355834961
22	0.00064492225646973
23	0.00078415870666504
24	0.0013530254364014
25	0.0024459362030029
26	0.0018231868743896
27	0.0018270015716553
28	0.0042150020599365
29	0.0078470706939697
30	0.011107921600342
31	0.010986804962158
32	0.018110036849976
33	0.017699956893921
34	0.031850814819336
35	0.043661117553711
36	0.085752964019775
37	0.072696924209595
38	0.20365381240845
39	0.1328010559082
40	0.25147795677185
41	0.28650116920471
42	0.44263291358948
43	0.77224206924438
44	1.1820619106293
45	1.1639938354492
